album,number,name
1    ,1     ,The Genesis
1    ,2     ,N.Y. State of Mind
1    ,3     ,Life's a BitchAZ
1    ,4     ,The World Is Yours
1    ,5     ,Halftime
1    ,6     ,Memory Lane (Sittin' in da Park)
1    ,7     ,One LoveQ-Tip
1    ,8     ,One Time 4 Your Mind
1    ,9     ,Represent
1    ,10    ,It Ain't Hard to Tell
2    ,1     ,Bring Da Ruckus
2    ,2     ,Shame On a Nigga
2    ,3     ,Clan In Da Front
2    ,4     ,Wu-Tang: 7th Chamber
2    ,5     ,Can It Be All So Simple / Intermission
2    ,6     ,Da Mystery of Chessboxin'
2    ,7     ,Wu-Tang Clan Aint Nuthing ta F' Wit
2    ,8     ,C.R.E.A.M.
2    ,9     ,Method Man
2    ,10    ,Protect Ya Neck
2    ,11    ,Tearz
2    ,12    ,Wu-Tang: 7th Chamber - Part II
3    ,1     ,Intro
3    ,2     ,Things Done Changed
3    ,3     ,Gimme the Loot
3    ,4     ,Machine Gun Funk
3    ,5     ,Warning
3    ,6     ,Ready to Die
3    ,7     ,One More Chance
3    ,8     ,Fuck Me
3    ,9     ,The What
3    ,10    ,Juicy
3    ,11    ,Everyday Struggle
3    ,12    ,Me and My Bitch
3    ,13    ,Big Poppa
3    ,14    ,Respect
3    ,15    ,Friend of Mine
3    ,16    ,Unbelievable
3    ,17    ,Suicidal Thoughts
4    ,1     ,Public Service Announcement 2000
4    ,2     ,Kill You
4    ,3     ,Stan
4    ,4     ,Paul
4    ,5     ,Who Knew
4    ,6     ,Steve Berman
4    ,7     ,The Way I Am
4    ,8     ,The Real Slim Shady
4    ,9     ,Remember Me?
4    ,10    ,I'm Back
4    ,11    ,Marshall Mathers
4    ,12    ,Ken Kaniff
4    ,13    ,Drug Ballad
4    ,14    ,Amityville
4    ,15    ,Bitch Please II
4    ,16    ,The Kids
4    ,17    ,Under the Influence
4    ,18    ,Criminal
5    ,1     ,Taxman
5    ,2     ,Eleanor Rigby
5    ,3     ,I'm Only Sleeping
5    ,4     ,Love You To
5    ,5     ,Here There And Everywhere
5    ,6     ,Yellow Submarine
5    ,7     ,She Said She Said
5    ,8     ,Good Day Sunshine
5    ,9     ,And Your Bird Can Sing
5    ,10    ,For No One
5    ,11    ,Doctor Robert
5    ,12    ,I Want To Tell You
5    ,13    ,Got To Get You Into My Life
5    ,14    ,Tomorrow Never Knows
6    ,1     ,Drive
6    ,2     ,Try Not To Breathe
6    ,3     ,The Sidewinder Sleeps Tonite
6    ,4     ,Everybody Hurts
6    ,5     ,New Orleans Instrumental No. 1
6    ,6     ,Sweetness Follows
6    ,7     ,Monty Got A Raw Deal
6    ,8     ,Ignoreland
6    ,9     ,Star Me Kitten
6    ,10    ,Man On The Moon
6    ,11    ,Nightswimming
6    ,12    ,Find The River
7    ,1     ,Zoo Station
7    ,2     ,Even Better Than The Real Thing
7    ,3     ,One
7    ,4     ,Until The End Of The World
7    ,5     ,Who's Gonna Ride Your Wild Horses
7    ,6     ,So Cruel
7    ,7     ,The Fly
7    ,8     ,Mysterious Ways
7    ,9     ,Tryin' To Throw Your Arms Around The World
7    ,10    ,Ultra Violet (Light My Way)
7    ,11    ,Acrobat
7    ,12    ,Love Is Blindness
8    ,1     ,Wanna Be Startin' Somethin'
8    ,2     ,Baby Be Mine
8    ,3     ,The Girl Is Mine
8    ,4     ,Thriller
8    ,5     ,Beat It
8    ,6     ,Billie Jean
8    ,7     ,Human Nature
8    ,8     ,P.Y.T. (Pretty Young Thing)
8    ,9     ,The Lady in My Life
9    ,1     ,Speak To Me
9    ,2     ,Breathe (In The Air)
9    ,3     ,On The Run
9    ,4     ,Time
9    ,5     ,The Great Gig In The Sky
9    ,6     ,Money
9    ,7     ,Us And Them
9    ,8     ,Any Colour You Like
9    ,9     ,Brain Damage
9    ,10    ,Eclipse
10   ,1     ,Welcome To The Jungle
10   ,2     ,It's So Easy
10   ,3     ,Nightrain
10   ,4     ,Out Ta Get Me
10   ,5     ,Mr. Brownstone
10   ,6     ,Paradise City
10   ,7     ,My Michelle
10   ,8     ,Think About You
10   ,9     ,Sweet Child O' Mine
10   ,10    ,You're Crazy
10   ,11    ,Anything Goes
10   ,12    ,Rocket Queen
11   ,1     ,Hells Bells
11   ,2     ,Shoot to Thrill
11   ,3     ,What Do You Do for Money Honey
11   ,4     ,Givin the Dog a Bone
11   ,5     ,Let Me Put My Love Into You
11   ,6     ,Back In Black
11   ,7     ,You Shook Me All Night Long
11   ,8     ,Have a Drink on Me
11   ,9     ,Shake a Leg
11   ,10    ,Rock and Roll Ain't Noise Pollution
12   ,1     ,Battery
12   ,2     ,Master Of Puppets
12   ,3     ,The Thing That Should Not Be
12   ,4     ,Welcome Home (Sanitarium)
12   ,5     ,Disposable Heroes
12   ,6     ,Leper Messiah
12   ,7     ,Orion
12   ,8     ,Damage Inc.
